# File: Andrew_cement_production.csv
# Title: Andrew historical cement production
# Units: kt cement
# Description: Historical cement production 1880 - 2024 by country, energy use, energy intensity, process-based emissions, energy-use emissions, and total emissions
# Source: 1. annual_cement_production.csv from https://zenodo.org/records/14931651 documented here https://essd.copernicus.org/articles/11/1675/2019/
# Column types: ncccc
# ----------
Year,AFG,ALB,DZA,AND,AGO,AIA,ATA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BES,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CAN,CPV,CYM,CAF,TCD,CHL,CHN,CXR,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CUW,CYP,CZE,CSK,PRK,COD,VDR,DNK,DJI,DMA,DOM,East & West Pakistan,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FRO,FLK,DEW,FSM,Federation of Malaya-Singapore,FJI,FIN,YMD,DDR,PCZ,YEM (886),FRA,French Equatorial Africa,GUF,French Indo-China,PYF,French West Africa,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRL,GRD,GLP,GTM,GIN,GNB,GUY,HTI,HND,HKG,HUN,ISL,IND,IDN,IRQ,IRL,IRN,ISR,ITA,JAM,JPN,Japan (Excluding The Ruyuku Islands),JOR,KAZ,KEN,KIR,KSV,KWT,Kuwaiti Oil Fires,KGZ,LAO,LVA,LBN,Leeward Islands,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MKD,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MTQ,MRT,MUS,MEX,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,ANT,Netherland Antilles and Aruba,NLD,NCL,NZL,NIC,NER,NGA,NIU,NOR,PSE,OMN,Pacific Islands (Palau),PAK,PLW,PAN,PNG,PRY,Peninsular Malaysia,PER,PHL,BOL,POL,PRT,QAT,CMR,KOR,MDA,SSD,Republic of South Vietnam,SDN (729),REU,Rhodesia-Nyasaland,ROU,RUS,RWA,Rwanda-Urundi,Ryukyu Islands,Sabah,SHN,LCA,SXM,WSM,STP,Sarawak,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,KNA (659),KNA (658),SPM,VCT,SDN (736),SUR,SWZ,SWE,CHE,SYR,TWN,TJK,Tanganyika,THA,TLS,TGO,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,United Korea,TZA,USA,URY,SUN,UZB,VUT,VEN,VNM,WLF,YEM (887),YUG,SCG,ZMB,Zanzibar,ZWE
1962,58.820453,117.640906,874.388654,,168.585245,,,0,2926.317525,228.820316,0,2933.670081,3058.994389,461.878045,0,0,11.693887,0,1326.254715,4786.335462,0,0,0,0,0,58.456134,,5072.917611,0,0,1889.607045,0,0,0,6242.320549,7.352557,0,0,0,1022.229491,6000,,1742.555913,0,0,,0,0,1655.646264,779.370999,0,95.583236,3827.275291,,2374.87578,198.519028,,1632.105488,0,0,242.634368,,213.224141,2235.177205,66.173009,0,,347.467887,44.11534,0,0,,,,0,1359.926302,,,0,,16881.46994,0,0,,0,,0,0,288.213019,34027.49077,0,0,1925.67514,0,0,0,117.640906,0,0,0,58.820453,58.820453,213.224141,1735.077517,95.583236,8587.566607,507.326405,889.659348,757.313329,742.608216,955.832357,20168.06274,198.519028,28785.25907,,235.281811,3686.549532,346.053475,0,,0,,635.611988,0,228.820316,860.249122,0,,0,0,,864.28921,227.929254,0,220.34674,14.705113,28.977879,323.51249,,0,0,,0,0,0,3352.573142,0,0,0,699.325407,176.787535,51.467896,,,0,,,2014.600507,0,632.319867,44.11534,0,485.268735,,1411.690866,,,0,1386.246099,,124.993462,0,14.705113,,698.492877,963.184914,51.467896,7543.723067,1404.33831,0,0,786.723556,654.059397,0,,103.709139,0,,3485.111826,34970.83613,0,,0,,,0,0,0,0,,183.813915,183.813915,871.983477,,0,125.171515,2019.132775,430.487073,0,0,2661.71777,7293.736142,88.230679,,0,0,0,,0,,3073.368657,3727.746194,609.564755,1867.549375,228.820316,,963.184914,,0,0,161.756245,361.012032,2323.407884,635.684555,,,58.820453,9364.820354,0,14249.25468,,0,58908,374.637939,57320.53122,3398.405431,0,1536.788482,463.211065,,0,,,141.413641,,235.355169
1963,102.935792,132.346019,882.306791,,191.166471,,,0,2536.632025,243.874322,0,3117.483996,3308.650468,492.264835,0,0,12.423667,0,1413.508536,4705.473103,0,0,0,0,0,66.579069,,5183.5524,0,0,2205.766979,0,0,0,6359.961455,7.352557,0,0,0,1169.056499,8060,,1837.822119,0,0,,0,0,1809.188091,808.781225,0,95.583236,3465.540528,,2529.279469,243.022583,,1521.979215,0,0,227.929254,,257.339481,2507.221799,80.878123,0,,370.327674,36.445862,0,0,,,,0,1426.395979,,,0,,18131.40456,0,0,,0,,0,0,307.17445,34667.30435,0,0,2293.997658,0,0,0,154.403688,0,0,0,51.467896,58.820453,220.576698,1801.493742,95.852484,9352.451989,330.865047,941.127244,801.428669,742.542353,1021.549114,22086.5885,198.519028,29946.96301,,286.749707,3929.086301,345.57016,0,,0,,677.428673,0,243.874322,897.011905,0,,0,0,,921.150486,205.871585,0,249.462704,44.11534,27.527376,360.275273,,0,0,,0,0,0,3764.30097,0,0,0,757.313329,169.108802,124.993462,,,0,,,2080.857159,0,720.550546,51.467896,0,529.384075,,1441.101093,,,0,1491.33892,,139.698575,0,14.705113,,757.042085,948.479801,58.643283,7675.947349,1433.748536,0,0,779.235598,707.704677,0,,118.502533,0,,4367.188293,37188.3843,0,,0,,,0,0,0,0,,198.414269,191.166471,991.673139,0,0,190.960473,1833.745135,483.769406,0,0,2882.298422,7749.594651,73.525566,,0,0,0,,0,,3301.516555,3580.695062,683.787763,2242.529761,243.874322,,992.59514,,0,0,161.756245,360.275273,2698.38827,677.506014,,,51.467896,9973.370405,0,14058.08821,,0,61733,338.504959,61011.51463,3621.985303,0,1580.799668,492.621292,,0,,,136.892599,,226.260045
1964,124.993462,124.993462,786.723556,,213.224141,,,0,2911.420833,259.879293,0,3624.688436,3772.216733,524.571166,0,0,12.854715,0,1506.274201,5845.282493,0,0,0,0,0,71.539552,,5624.342278,0,0,2580.747365,0,0,7.274338,7176.095237,14.705113,0,0,0,1264.639734,12090,,1962.801057,0,0,,29.410226,0,1855.814705,808.781225,0,73.525566,3682.038958,,2610.157591,228.352915,,1896.798556,0,0,301.45482,,286.749707,2521.926912,88.230679,0,,394.63152,44.11534,0,0,,,,29.410226,1573.447111,,,0,,21535.86697,0,0,,0,,0,0,327.333679,39395.14719,0,0,2668.978044,0,0,0,183.813915,0,0,0,58.820453,73.525566,213.224141,2257.102237,110.598148,9690.905484,441.153396,1095.530933,970.537471,742.608216,1095.092018,22837.51672,279.145441,32975.8798,,308.807377,4186.944172,419.095726,0,,0,,721.886926,0,259.879293,882.306791,0,,0,0,,981.603702,205.810259,0,266.407543,44.452098,29.410226,462.981867,,0,0,,0,0,0,4418.668372,0,0,0,926.422131,183.813915,132.346019,,0,0,,,2874.849629,0,786.723556,58.820453,0,662.063795,,1544.036885,,0,0,1533.724656,,124.993462,0,22.05767,,816.133782,1198.466725,66.009619,8757.026991,1624.37463,0,0,1242.377018,765.43184,0,,89.010661,0,,4749.75156,39540.5849,0,,0,,,0,0,0,0,,257.339481,205.871585,1064.988836,0,0,198.519028,1935.896644,512.019412,0,0,3455.7016,8499.555424,73.525566,,0,0,0,,0,0,3624.810401,4323.303278,632.319867,2352.81811,259.879293,,1058.2494,,0,0,176.461358,455.858509,2941.022638,721.969343,,,73.525566,10619.8692,0,16962.45031,,0,64379,404.390613,64930.42729,3859.688765,0,1852.964304,720.550546,,0,,,154.403688,,250.192
1965,169.108802,146.803571,743.021235,,242.634368,,,0,3301.297911,290.098789,0,3801.27176,4043.906127,585.569778,0,0,14.133764,0,1681.428004,5904.102946,0,0,0,0,0,75.33336,,5617.7185,0,0,2683.895642,0,0,51.467896,7580.485849,14.705113,0,0,0,1183.761612,16340,,2051.034651,0,0,,117.640906,0,1643.517004,801.428669,0,95.583236,3832.616349,,2396.93345,249.616573,,1992.542837,0,0,212.720065,,323.51249,2418.670256,80.878123,0,,440.520383,95.043217,0,0,,,,36.762783,1771.966139,,,0,,22366.47716,0,0,,0,,0,0,365.39696,40218.48458,0,0,3213.067232,0,0,0,235.281811,0,0,0,44.11534,95.583236,242.819585,2382.228337,110.288349,10580.56271,367.62783,1286.941745,1051.415593,786.777217,1257.287178,20690.09426,308.4294,32689.46662,,301.45482,4673.813823,484.548752,0,,0,,805.829969,0,290.098789,970.537471,0,,0,0,,1095.747343,220.576698,0,272.699986,36.762783,29.410226,742.932925,,0,0,,0,0,0,4301.036006,0,0,0,786.723556,220.576698,132.346019,,0,0,,,2970.432864,0,845.770392,66.173009,0,985.5498,,1602.857338,,0,0,1695.921898,,169.108802,0,29.410226,,1014.963862,1529.732961,58.820453,9573.028687,1676.382904,0,0,1610.209894,866.999318,0,,81.645452,0,,5404.129097,44040.05775,0,,102.935792,,,0,0,0,0,,249.986924,183.813915,1115.243116,0,0,205.871585,2008.277135,506.679322,0,0,3882.149882,9690.669592,88.230679,,0,0,0,,0,0,3771.640698,4036.066241,676.435207,2441.04879,290.098789,,1249.319798,,0,0,191.031657,456.537881,3330.26226,805.92197,,,132.346019,11845.83378,0,16962.34807,,0,65078,419.095726,72385.91968,4308.504237,0,2110.311046,948.479801,,0,,,220.576698,,249.811248
1966,176.461358,139.89958,661.730094,,264.692037,,,0,3485.111826,320.986548,0,3676.278298,4500.184978,647.917291,0,0,15.122416,0,1860.455096,5793.612658,0,0,0,0,0,80.761975,,6043.801521,0,0,2852.791959,0,0,58.820453,8095.164811,0,0,0,0,1367.308735,20150,,2073.42096,0,0,,117.640906,110.288349,1533.882427,801.428669,0,95.583236,4118.732615,,2499.869242,264.692037,,2095.47863,0,0,279.397151,,374.980386,2441.04879,139.698575,0,,487.424017,102.935792,0,0,,,,44.622412,1573.447111,,,0,,23300.25185,0,0,,0,,0,0,404.301959,41181.82806,0,0,3588.047618,0,0,0,198.519028,0,0,0,36.762783,102.935792,249.986924,2602.805035,117.640906,11050.89256,338.217603,1345.517857,1109.966702,1397.065599,1169.371863,22417.94506,352.555471,38263.0388,,374.980386,5171.449938,485.932578,0,,0,,891.6293,0,320.986548,1095.530933,0,,0,0,,1212.415116,213.156878,0,283.983007,51.467896,44.11534,852.896565,,0,0,,0,0,0,4926.212919,0,0,0,860.249122,227.929254,139.698575,,0,0,,,3161.599336,0,874.954235,80.878123,14.705113,1000.231854,,1823.434036,,0,0,1838.682466,,147.377188,0,29.410226,,1065.825872,1610.209894,66.173009,10043.59231,1720.498243,0,0,1882.254488,973.17355,0,,103.74603,0,,5882.045276,48620.53352,0,,124.993462,,,0,0,0,0,,249.986924,191.166471,1189.798097,0,0,391.814928,2145.203909,513.149095,0,0,3985.199528,12072.89793,80.878123,,0,0,0,,0,0,3756.966636,4323.806163,617.614754,3110.716711,320.986548,,1485.216432,,0,0,213.224141,477.916179,3867.444769,891.731095,,,117.640906,13097.22802,0,16771.18159,,51.330648,67146,470.563622,79988.4632,4767.244655,0,2110.183743,882.475331,,0,,,220.576698,,249.986924
1967,132.346019,220.576698,727.587036,,279.397151,,,0,3551.682249,340.550143,0,3823.329429,4543.879976,687.406771,683.787763,0,16.720071,0,1973.846735,5815.872267,0,0,0,0,0,87.306476,,6404.076794,0,0,3352.988686,0,0,58.820453,7249.620803,0,0,0,0,1234.994361,14620,,2110.183743,0,0,,110.288349,257.339481,1303.923976,0,0,183.813915,4350.853319,,2595.452478,294.102264,,2198.414422,0,0,308.807377,,389.6855,2749.856167,139.698575,0,,517.131699,147.051132,0,0,,,,44.574874,1514.626659,,,0,,24381.07767,0,0,,0,,0,0,428.94349,38865.61416,0,0,3448.349043,0,0,0,220.576698,0,0,0,36.762783,110.288349,213.224141,2654.107494,117.940246,11690.56499,352.922717,1396.985753,1294.049961,1396.985753,801.428669,26255.5689,338.217603,42968.01911,,323.51249,5486.641197,477.916179,0,,0,,945.97262,0,340.550143,1014.65281,0,,0,0,,1286.309798,183.813915,0,289.722011,58.820453,44.11534,830.838895,,0,0,,0,0,0,5595.067859,51.467896,0,0,860.249122,249.986924,132.346019,,0,0,,,3345.413251,0,816.133782,95.583236,22.05767,786.723556,,2154.299082,,0,0,2028.420781,,183.813915,0,14.705113,,1088.178376,2110.183743,58.820453,11131.77069,1823.434036,0,0,2441.303463,1047.155354,0,,133.554906,0,,6330.551228,51468.94298,0,,147.051132,,,0,0,0,0,,323.51249,169.108802,1275.282214,0,0,470.563622,2228.939956,497.06566,0,0,4007.143344,13469.88368,191.166471,,0,0,0,,0,0,3896.854995,4176.722498,602.909641,3485.111826,340.550143,,1734.680547,,0,0,191.166471,470.563622,4249.3129,946.08062,,,139.698575,13885.0379,0,17572.50151,,147.051132,64449,419.095726,84752.91987,5057.800276,0,2250.007681,933.774688,,0,,,301.22435,,0
1968,95.297913,301.45482,867.952934,,308.13165,,,0,4176.252146,352.087738,0,3926.265222,4551.626647,710.695619,683.787763,0,19.846838,0,2040.719245,5742.346701,0,0,0,0,0,102.930801,,7278.68628,0,0,3514.305561,0,0,58.820453,7404.113939,7.352557,0,0,0,1235.442957,12620,,2367.196939,0,0,,132.346019,330.865047,1346.712862,779.370999,0,235.281811,4379.316061,,2691.035714,294.102264,,2279.292544,0,0,323.51249,,433.800839,3146.894223,154.403688,0,,534.65175,176.461358,0,,,,,51.467896,1477.701223,,,0,,25388.37792,0,0,,0,,0,0,443.475788,40990.6555,227.929254,0,4080.66891,0,0,0,176.461358,0,0,0,44.11534,132.346019,374.980386,2801.492048,102.699701,11940.55191,411.743169,1397.245609,1353.148839,1941.074941,1102.590714,29461.69428,411.743169,47673.66621,,477.916179,5672.524662,543.382579,0,,0,,978.021493,0,352.087738,905.261648,0,,51.467896,0,,1329.889051,191.109356,0,329.945116,66.173009,58.270729,933.774688,,0,0,,0,0,0,6124.679644,73.525566,0,0,992.59514,286.749707,176.461358,,0,0,,,3433.64393,0,764.45804,102.935792,22.05767,573.499414,,2293.997658,,0,0,2426.946894,,162.050347,0,22.05767,,1110.236046,2566.042252,73.649555,11602.48842,1860.196819,0,0,3573.342505,1097.758165,0,,148.34998,0,,7029.044105,53094.15858,0,,249.986924,,0,0,0,0,0,,507.262494,198.519028,1491.7498,0,44.11534,565.764068,2234.391649,549.026315,0,0,4411.651114,14955.66459,220.576698,,0,0,0,,0,0,3911.560109,4323.303278,919.069574,3993.04388,352.087738,,2367.523224,,0,0,213.224141,506.809779,4727.216539,978.133152,,,154.403688,14344.68296,0,17874.17307,,154.062087,68791,514.678962,87510.12859,5229.154918,0,2441.185176,639.672424,,0,,,337.946596,,338.217603
1969,102.935792,330.865047,948.171452,,382.836675,,,0,4345.360948,361.758508,0,4308.598165,4558.959142,730.216247,816.133782,0,22.523348,0,2096.771544,6271.544737,0,0,0,0,0,110.96938,,7823.120217,0,0,3551.284835,0,0,58.981164,7484.902614,14.705113,0,0,0,1433.748536,18290,,2389.580893,0,0,0,161.756245,389.6855,1336.08263,779.370999,0,242.634368,4554.668227,,2801.163923,323.51249,,2610.157591,0,0,389.148002,,456.324146,3610.777561,139.698575,0,,549.336993,169.481288,0,,,,,51.035393,1794.023809,,,0,,27542.67701,0,0,,0,,0,0,455.656707,42490.42456,403.515308,0,4837.98224,0,0,0,220.576698,0,0,0,51.467896,132.346019,374.980386,2566.042252,95.583236,13256.91443,536.795581,1382.28064,1271.992291,2345.465554,1308.431285,31343.94877,411.390045,51386.7299,,477.916179,5828.331516,640.422333,0,,0,,1004.884744,0,361.758508,1249.934621,0,,73.525566,66.173009,,1366.417024,205.871585,0,348.386047,73.525566,74.239406,970.537471,,0,0,,0,0,0,6786.166453,73.525566,0,0,1161.703942,301.45482,183.813915,,0,0,,,3293.945355,0,801.428669,110.288349,22.05767,566.146858,,2492.516686,,0,0,2653.115947,,176.461358,0,36.762783,,1139.373238,2948.375195,80.761918,11830.11583,2037.169386,51.467896,0,4830.629683,1143.411175,0,,170.663789,0,,7514.559648,54431.03866,0,,257.339481,,,0,0,0,0,,588.204528,205.871585,1598.331204,0,44.11534,624.967311,2295.104564,567.790345,0,0,5102.674277,16314.70557,279.397151,,0,0,0,,0,0,3955.675448,4536.090795,933.774688,4088.590908,361.758508,,2404.286007,,0,0,242.634368,602.337077,5793.267184,1004.99947,,,176.461358,14727.65033,0,17418.10501,,169.108802,71086,462.907718,89796.7737,5372.783765,0,2139.480264,742.608216,,0,,,330.865047,,382.332943
1970,95.793309,360.628484,926.422131,,448.047357,,,0,4742.399004,384.206755,0,4507.005234,4808.919881,775.528451,830.838895,0,22.018677,0,2226.88278,6727.589284,0,0,0,0,0,123.64978,,9002.431,0,0,3668.706058,0,0,36.762783,7205.505463,14.705113,0,0,0,2044.314676,25750,0,2793.971506,0,0,0,183.813915,397.038056,1460.373925,742.608216,0,264.692037,5013.025379,,4007.143344,419.095726,,2602.958738,0,0,492.621292,,330.865047,3683.008093,161.756245,0,,583.425073,183.813915,0,0,,,,58.820453,1875.072145,,,0,,29006.07805,0,0,,0,,0,0,483.931632,46306.40144,441.153396,0,4845.334796,0,0,0,220.576698,0,0,0,58.820453,154.403688,426.448283,2771.913836,87.998493,13543.40925,551.441745,1360.22297,860.249122,2573.394808,1382.586454,33071.79957,441.477535,57188.1852,,374.980386,6189.997727,794.076112,0,,0,,1067.240987,0,384.206755,1336.92396,0,,88.230679,95.583236,,1451.207477,242.634368,0,386.257283,73.525566,66.173009,1029.099485,,0,0,,0,0,0,7183.447793,95.583236,0,0,1404.33831,397.038056,168.974588,,0,0,,,3830.58302,0,830.838895,124.993462,29.410226,588.204528,0,2610.499324,,0,0,2542.890151,,242.634368,0,88.230679,,1132.527226,2448.401346,117.640906,12175.98038,2331.32072,257.339481,29.410226,5823.621879,1230.783474,0,,155.892683,0,,8124.327004,57680,0,,256.845547,,,0,0,0,0,,676.380444,242.634368,1785.235025,0,29.410226,727.903103,2511.980037,626.191603,0,0,5749.699257,16697.13239,323.51249,,0,0,0,,0,0,4073.316354,4794.303182,963.715594,4300.697539,384.206755,,2624.862704,,0,0,272.155497,544.622609,6374.666568,1067.362832,,,191.166471,15629.85562,0,17057.9313,,169.108802,67427,499.973848,95245.01813,5706.181812,0,2646.790202,786.723556,,0,,,176.461358,,477.916179
1971,88.230679,360.275273,963.184914,,528.815456,,,0,5529.122559,406.607501,0,4683.578551,5491.973643,820.744771,830.838895,0,23.304422,0,2356.718693,6933.460869,0,0,0,0,0,137.311125,,9802.639,0,0,3882.149882,0,0,58.820453,8227.51083,7.352557,0,0,0,1367.760634,31580,0,2845.783512,0,0,0,213.224141,499.973848,1707.533002,749.960773,0,301.45482,5399.651729,,4808.572013,455.858509,,2735.151053,0,0,595.557084,,367.308985,3918.28923,183.813915,0,,617.44102,213.224141,0,0,,,,81.420929,1838.139149,,,0,,28947.01532,0,0,,0,,0,0,512.146725,49482.53116,529.384075,0,5536.475116,0,0,0,227.929254,0,0,0,73.525566,161.756245,514.885081,2713.093384,117.640906,14896.01433,485.268735,1852.373579,1499.921545,2852.791959,1404.33831,31799.80727,426.448283,59430.4417,,419.095726,6550.898629,794.076112,0,,0,,1129.465281,0,406.607501,1499.921545,0,,88.230679,73.525566,,1535.818507,264.692037,0,436.979896,73.263909,66.173009,1095.530933,0,0,0,,0,0,0,7359.909152,95.698814,0,0,1477.203525,419.095726,198.519028,,0,0,,,4043.906127,0,823.285879,117.640906,29.410226,661.805273,0,2742.873419,,0,0,2644.801075,,279.397151,0,58.820453,,1448.453649,3117.483996,124.843948,13080.19818,2455.753903,257.339481,139.698575,6874.640416,1315.394777,0,,192.944986,0,,8521.364759,60626.0282,0,,257.047713,,,0,0,0,0,,705.845433,242.634368,1982.694839,0,0,610.397092,2674.363339,716.326832,0,0,5852.63505,17160.86709,382.332943,,0,0,0,,51.467896,0,3948.322892,5220.315182,911.717018,5043.853824,406.607501,,2779.795979,,0,0,257.339481,580.346882,7543.723067,1129.59423,,,205.871585,16472.68704,0,17697.60372,,176.461358,71054,455.858509,100325.6347,6038.874368,0,2801.159878,764.665886,,0,,,470.108971,,558.560006
1972,95.583236,397.038056,926.422131,,624.459207,,,0,5448.244437,424.680563,0,4933.680354,6345.256342,857.22558,985.242584,0,22.05767,0,2461.471118,7088.06322,0,0,0,0,0,160.167322,0,11381.431,0,0,3911.560109,0,0,51.467896,9050.910088,7.352557,0,0,0,1382.46046,35470,0,3050.955605,0,0,0,264.692037,602.909641,1969.239334,1470.252107,0,419.095726,5472.354104,,5264.430522,477.916179,,2874.849629,0,0,676.435207,,485.268735,3822.779943,220.576698,0,,644.885299,191.166471,0,0,,,,88.230679,1985.190281,,,0,,29910.20023,0,0,,0,,0,0,534.910839,52004.44996,411.743169,0,6279.083332,0,0,0,264.692037,0,0,0,80.878123,191.166471,411.580618,2970.275989,132.020043,15756.79401,595.557084,1904.075891,1470.511319,3374.706859,1544.036885,33461.48506,419.095726,66290.65026,,661.730094,6842.075731,801.428669,0,,0,,1179.66823,0,424.680563,1682.658214,0,,88.230679,58.820453,,1604.083215,308.807377,0,513.389687,66.173009,74.02236,1161.941801,0,0,0,,0,0,0,8602.491216,139.698575,0,0,1544.740639,470.563622,198.519028,,0,0,,,4021.848457,0,897.011905,117.640906,29.410226,1139.545401,0,2727.798497,,0,0,2602.805035,,272.044594,0,73.525566,,1624.915008,2904.259855,147.051132,13984.56264,2779.266393,102.935792,169.108802,6484.560814,1387.159822,0,,163.33209,0,,9212.753414,62889.35127,0,,257.339481,,,0,0,0,0,,963.134706,338.217603,2287.636824,0,0,1007.300254,2680.68361,836.424523,0,0,6109.844062,19572.01078,382.332943,,0,0,0,,58.820453,0,3874.797326,5712.936474,1007.776068,5867.939115,424.680563,,3374.823477,,117.640906,0,286.749707,625.451406,8425.45619,1179.80291,,,169.108802,17134.0468,0,18043.27591,,235.281811,74931,463.211065,104296.0153,6307.2928,0,2984.96306,499.973848,,0,,,485.268735,,624.967311
1973,139.386748,514.678962,1007.300254,,772.018442,,,0,5183.5524,447.92759,0,5249.725409,6257.025662,904.150135,955.832357,0,29.410226,0,2596.212124,7043.56323,0,0,0,0,0,195.322546,0,13397.576,0,0,4176.02965,0,0,80.878123,10095.06021,14.705113,0,0,0,1374.928083,37310,0,3220.419789,0,0,0,272.044594,661.730094,1782.379159,1499.676019,0,448.505952,5720.932417,,5808.51971,536.736631,,2889.554742,0,0,580.851971,,485.268735,3617.457845,242.634368,0,,680.18634,124.993462,0,0,,,,88.230679,2095.47863,,,0,,30711.6289,0,0,,0,,0,0,564.191875,50563.5317,433.800839,0,6492.307473,0,0,0,308.807377,0,0,0,110.288349,235.281811,441.153396,3404.233704,132.069722,15006.56801,727.903103,1816.081479,1573.447111,3492.464383,1257.525979,36306.54872,404.390613,78113.87406,,617.614754,7216.61117,794.819629,0,,0,,1244.243305,0,447.92759,1661.67779,0,,88.230679,80.898459,,1691.890781,360.182058,0,561.561061,73.275479,87.6687,1279.344848,0,44.11534,0,,0,0,0,9786.252828,147.051132,0,0,1617.562451,610.262197,191.166471,,0,0,,,4073.316354,51.467896,1058.554903,191.166471,73.525566,1220.434126,0,2727.798497,,0,0,2874.323581,,433.800839,0,73.525566,,2360.170667,4058.61124,169.108802,15550.6572,3301.297911,102.935792,190.389372,8176.453131,1476.988459,0,,207.791605,0,,9845.073281,65881.11948,0,,,,,0,0,0,0,,963.184914,294.102264,2760.547572,0,0,1029.357923,2760.614441,854.853196,0,0,6860.080266,22366.47716,418.679543,,0,0,0,,58.820453,0,4213.014929,5757.051814,845.151462,6095.269417,447.92759,,3705.688524,,117.640906,0,249.986924,522.031518,8948.061376,1244.385358,,,139.698575,17997.95682,0,19984.24883,,316.159934,77576,515.00595,109494.2728,6652.554205,0,3411.58626,764.665886,,14.705113,,,411.414563,,676.435207
1974,147.332839,559.266256,941.127244,,756.743921,,,0,5389.423984,473.215452,0,5205.610069,6433.487021,955.194153,794.076112,0,88.300152,0,2742.781918,7470.400088,0,0,0,0,0,201.915794,0,14919.644,0,0,4293.893052,0,0,51.467896,10374.3598,0,0,0,0,1426.194483,37090,0,3484.761528,0,0,0,294.102264,632.319867,1890.217404,1816.081479,0,338.217603,6134.137199,,5984.981068,624.967311,,2492.516686,0,0,602.909641,,581.201882,3264.993437,294.102264,0,,718.586427,117.640906,0,0,,,,80.878123,2205.766979,,,0,,32336.7815,0,0,,0,,0,0,596.043466,46070.96093,522.031518,0,7020.980707,0,0,0,308.807377,0,0,0,139.698575,213.224141,573.499414,3433.64393,154.403688,14286.01746,830.838895,1816.081479,1536.684328,4521.822306,1794.362177,36306.92447,404.195632,73106.47023,,595.557084,7624.026729,852.896565,0,,227.972505,,1314.487367,0,473.215452,1742.555913,0,,88.230679,485.268735,,1787.406891,367.62783,0,588.163203,58.820453,88.230679,1367.575527,0,44.11534,0,,0,0,0,10595.03405,169.108802,0,0,1911.664715,463.211065,169.108802,,0,36.762783,,,4088.021467,66.173009,1110.019033,235.281811,22.05767,1205.748301,0,2639.567818,,0,0,3470.406713,,397.038056,0,102.935792,,1904.639135,3499.816939,205.871585,16764.00626,3390.128719,124.993462,213.224141,8845.125584,1574.916414,0,,304.032615,0,,11190.59114,69128.61092,0,,,,,0,0,0,0,,1058.76815,330.865047,2849.841222,0,0,1051.415593,2923.005293,899.540423,0,0,7301.088699,22234.13114,469.976152,,0,0,0,,44.11534,0,3308.802345,5249.725409,963.184914,6168.794983,473.215452,,3918.320058,,132.346019,0,242.634368,536.736631,8933.356263,1314.63744,,,154.403688,18936.57241,0,17785.8344,,294.102264,73688,544.089188,115141.0363,7028.125789,0,3492.634847,698.35868,,58.820453,,,441.153396,,757.313329
1975,146.798032,647.02498,948.371229,,654.377537,,,0,5462.94955,503.939429,0,5014.443598,5632.058352,1017.211071,382.332943,0,169.108802,0,2920.859724,6881.992973,0,0,0,0,0,211.254683,0,16737.458,0,0,4360.066061,0,0,51.467896,9962.806177,0,0,0,0,1014.491164,46260,0,3088.07377,0,0,0,330.865047,0,2072.135457,2080.773516,0,610.262197,6378.291701,,6984.928765,624.967311,,2235.177205,0,0,587.864525,,595.557084,3580.695062,330.865047,0,,765.241356,147.051132,0,0,,,,73.960628,2066.232755,,,0,,29586.68774,0,0,,0,,0,0,634.742172,44152.10235,669.08265,0,7940.012136,0,0,0,389.6855,0,0,0,154.403688,294.102264,573.690326,3757.15642,161.756245,16234.68101,1073.473263,2382.228337,1558.741998,5367.366314,2190.653009,34233.50351,404.390613,65511.55537,,573.499414,8119.024141,897.011905,0,,286.749707,,1399.831748,0,503.939429,1654.325234,0,,88.230679,617.614754,,1903.456036,345.57016,0,625.310258,58.820453,102.935792,1448.453649,0,51.467896,0,,0,0,0,11609.94571,161.756245,0,0,2028.636103,279.397151,183.667099,,0,7.352557,,,3705.688524,58.820453,1073.473263,176.461358,14.705113,1367.575527,0,2713.093384,,0,0,3117.483996,,279.397151,0,139.698575,,1904.312158,4264.482825,264.453146,18499.03239,3448.349043,161.756245,235.281811,10131.82299,1692.515365,0,,215.07769,0,,11521.45618,73119,0,,,,,0,0,0,0,,1124.941159,360.275273,2989.790881,0,0,1323.460187,3012.115116,967.483726,0,0,7175.953153,24094.81438,389.6855,,0,0,0,,29.410226,0,3117.625443,3764.508977,992.59514,6793.762294,503.939429,,3977.135592,,0,0,257.339481,617.614754,10690.61729,1399.991565,,,95.583236,20084.31426,0,16888.8225,,265.117587,61815,639.672424,122052.4395,7484.433748,0,3499.816939,698.375404,,58.820453,,,448.505952,,669.08265
