"GCAM_region_ID","GCAM_commodity","year","HA_kHa_rainfed","Prod_kt_rainfed","HA_kHa_irrigated","Prod_kt_irrigated","HA_kHa","Prod_kt","Yield_tHa_rainfed","Yield_tHa_irrigated","Yield_tHa"
3,"OilCrop",2030,13339,36628,2317,8150,15655,44779,2.74593297848414,3.51747949935261,2.86036410092622
4,"OilCrop",2030,84,127,77,172,161,299,1.51190476190476,2.23376623376623,1.85714285714286
5,"OilCrop",2030,1578,2791,32,123,1615,2912,1.76869455006337,3.84375,1.8030959752322
6,"OilCrop",2030,6106,7687,322,573,6427,8259,1.25892564690468,1.77950310559006,1.28504745604481
7,"OilCrop",2030,18143,34332,12634,36491,30777,70820,1.89230006062944,2.88831723919582,2.30106898008253
8,"OilCrop",2030,855,968,591,1594,1447,2565,1.13216374269006,2.69712351945855,1.77263303386317
9,"OilCrop",2030,22941,28010,697,2445,23638,30454,1.22095810993418,3.50789096126255,1.28834926812759
10,"OilCrop",2030,69334,224902,79,190,69415,225091,3.24374765627254,2.40506329113924,3.24268529856659
11,"OilCrop",2030,6717,8124,684,1144,7397,9267,1.20946851272890,1.67251461988304,1.25280519129377
12,"OilCrop",2030,5723,8178,207,608,5930,8787,1.42897081950026,2.93719806763285,1.48178752107926
13,"OilCrop",2030,96,115,36,88,133,202,1.19791666666667,2.44444444444444,1.51879699248120
14,"OilCrop",2030,27638,30081,3597,7512,31235,37593,1.08839279253202,2.0884070058382,1.20355370577877
1,"OtherGrain",2030,4810,16388,1311,7917,6122,24304,3.40706860706861,6.03890160183066,3.96994446259392
2,"OtherGrain",2030,6202,21823,54,438,6255,22261,3.51870364398581,8.11111111111111,3.55891286970424
3,"OtherGrain",2030,23643,97630,1024,5097,24665,102729,4.12934060821385,4.9775390625,4.16497060612204
4,"OtherGrain",2030,27,35,39,165,67,199,1.29629629629630,4.23076923076923,2.97014925373134
5,"OtherGrain",2030,6231,16668,142,705,6374,17373,2.67501203659124,4.96478873239437,2.72560401631628
6,"OtherGrain",2030,20499,39044,679,2203,21181,41249,1.90467827698912,3.24447717231222,1.94745290590624
7,"OtherGrain",2030,3350,8066,2097,6299,5446,14364,2.40776119402985,3.00381497377206,2.63753213367609
8,"OtherGrain",2030,2206,2039,2077,5316,4284,7357,0.92429737080689,2.55946076071257,1.71732026143791
9,"OtherGrain",2030,61731,72699,598,2779,62326,75479,1.17767410215289,4.64715719063545,1.21103552289574
10,"OtherGrain",2030,6183,19930,1959,10749,8143,30679,3.22335435872554,5.48698315467075,3.76753039420361
11,"OtherGrain",2030,1359,1599,477,860,1837,2459,1.17660044150110,1.80293501048218,1.33859553620033
12,"OtherGrain",2030,9136,20962,9,25,9146,20987,2.29443957968476,2.77777777777778,2.29466433413514
13,"OtherGrain",2030,40,166,0,0,40,166,4.15,NA,4.15
14,"OtherGrain",2030,11309,9997,1259,4288,12568,14285,0.883986205676894,3.40587768069897,1.13661680458307
1,"PalmFruit",2030,0,0,0,0,0,0,NA,NA,NA
2,"PalmFruit",2030,0,0,0,0,0,0,NA,NA,NA
3,"PalmFruit",2030,0,0,0,0,0,0,NA,NA,NA
4,"PalmFruit",2030,0,0,0,0,0,0,NA,NA,NA
5,"PalmFruit",2030,0,0,0,0,0,0,NA,NA,NA
6,"PalmFruit",2030,0,0,0,0,0,0,NA,NA,NA
7,"PalmFruit",2030,506,2094,0,0,506,2094,4.13833992094862,NA,4.13833992094862
8,"PalmFruit",2030,0,0,0,0,0,0,NA,NA,NA
9,"PalmFruit",2030,5179,7228,6,28,5185,7256,1.39563622320911,4.66666666666667,1.39942140790743
10,"PalmFruit",2030,1395,10797,0,0,1395,10797,7.73978494623656,NA,7.73978494623656
